  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
029740 99999 201708011700 225  12  17 *** BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   66   55 1016.8 ***** 1010.5 *** *** ***** ***** ***** *****  0 
029740 99999 201708011720 210  15 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   66   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011750 210  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   66   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011800 219  12  17  74 BKN * * * 31.2 01 ** ** ** ** ** ** ** 2   66   56 1016.8 ***** 1010.4  75  66  0.00 ***** ***** *****  0 
029740 99999 201708011820 210  14 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   55 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011850 210  10 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011900 231   9  13 722 CLR * * * 31.2 ** ** ** ** 00 ** ** ** *   64   57 1017.0 ***** 1010.6 *** *** ***** ***** ***** *****  0 
029740 99999 201708011920 220   8 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708011950 220   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012000 226   5 *** 113 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   62   58 1016.8 ***** 1010.4 *** *** ***** ***** ***** *****  0 
029740 99999 201708012020 200   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012050 180   8 ***  80 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012100 207   8  12 *** BKN * * * 31.2 03 ** ** ** ** ** ** ** 2   63   58 1016.7 ***** 1010.3 *** *** ***** ***** ***** *****  0 
029740 99999 201708012120 190   8 ***  80 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012150 190   6 ***  90 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012200 192   6 *** *** BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   63   58 1016.2 ***** 1009.8 *** *** ***** ***** ***** *****  0 
029740 99999 201708012220 160   6 ***  75 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   57 ****** 30.00 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012250 990   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   59 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012300 177   4 ***  57 BKN * * * 31.2 ** ** ** ** 00 ** ** ** *   63   59 1015.5 ***** 1009.2 *** *** ***** ***** ***** *****  0 
029740 99999 201708012320 100   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   59 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708012350 110   6 ***  26 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.97 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020000 153   7 ***  27 BKN * * * 31.2 03 ** ** ** ** ** ** ** 2   63   60 1014.9 ***** 1008.5 *** *** ***** ***** ***** *****  0 
029740 99999 201708020020 130   8 ***  24 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020050 130   7 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.94 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020100 150   8 ***  22 BKN * * * 25.4 ** ** ** ** 00 ** ** ** *   63   60 1013.9 ***** 1007.5 *** *** ***** ***** ***** *****  0 
029740 99999 201708020120 130   8 ***  23 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020150 130   8 ***  20 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.91 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020200 141   9  12  23 OVC * * * 29.5 ** ** ** ** 00 ** ** ** *   63   59 1013.1 ***** 1006.8 *** *** ***** ***** ***** *****  0 
029740 99999 201708020220 130   9 ***  20 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   59 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020250 110   7 ***  25 *** * * *  6.2 ** ** ** ** ** ** ** ** *   63   57 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
029740 99999 201708020300 129   9  13  25 OVC * * * 18.8 03 ** ** ** ** ** ** ** 2   63   58 1012.1 ***** 1005.7 *** *** ***** ***** ***** *****  0 
029740 99999 201708020320 120   9 ***  27 *** * * *  5.0 80 ** ** ** ** ** ** ** *   61   57 ****** 29.88 ****** *** *** ***** ***** ***** ***** ** 
