"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Relative humidity mean [%]","Gust speed mean [m/s]"
"Rovaniemi railway station","2024","6","6","06:00","16.9","64.4","3.7"
"Rovaniemi railway station","2024","6","6","07:00","18","63.4","4"
"Rovaniemi railway station","2024","6","6","08:00","18.5","65.5","2.8"
"Rovaniemi railway station","2024","6","6","09:00","19.2","63.4","3.9"
"Rovaniemi railway station","2024","6","6","10:00","19.6","64.1","4.7"
"Rovaniemi railway station","2024","6","6","11:00","17.3","85.9","2"
"Rovaniemi railway station","2024","6","6","12:00","18.5","78.7","3.2"
"Rovaniemi railway station","2024","6","6","13:00","19.4","74.1","4.5"
"Rovaniemi railway station","2024","6","6","14:00","20","70.7","3.4"
"Rovaniemi railway station","2024","6","6","15:00","22","64.3","2.9"
"Rovaniemi railway station","2024","6","6","16:00","20.5","69.7","5.5"
"Rovaniemi railway station","2024","6","6","17:00","15.5","94.1","3.7"
"Rovaniemi railway station","2024","6","6","18:00","18.3","82.7","4.6"
"Rovaniemi railway station","2024","6","6","19:00","18.2","82.7","4.6"
"Rovaniemi railway station","2024","6","6","20:00","17.4","84.1","4.3"
"Rovaniemi railway station","2024","6","6","21:00","17","88.8","2.8"
"Rovaniemi railway station","2024","6","6","22:00","15.2","87.8","6"
"Rovaniemi railway station","2024","6","6","23:00","12.3","97.4","4.7"
"Rovaniemi railway station","2024","6","7","00:00","12.1","93.3","2.4"
"Rovaniemi railway station","2024","6","7","01:00","11.8","90.2","3.6"
"Rovaniemi railway station","2024","6","7","02:00","11.5","90.5","4.9"
"Rovaniemi railway station","2024","6","7","03:00","10.9","90.9","3.9"
"Rovaniemi railway station","2024","6","7","04:00","10.5","90.7","3"
"-","2024","6","7","05:00","-","-","-"
"Rovaniemi railway station","2024","6","7","06:00","10.3","89.9","3"
"Rovaniemi railway station","2024","6","7","07:00","10.7","88.1","3"
"Rovaniemi railway station","2024","6","7","08:00","10.8","87.3","2.9"
"Rovaniemi railway station","2024","6","7","09:00","10.9","87.6","3"
"Rovaniemi railway station","2024","6","7","10:00","11.2","86","2.9"
"Rovaniemi railway station","2024","6","7","11:00","12","80.9","2.7"
"Rovaniemi railway station","2024","6","7","12:00","13.1","73.2","3.5"
"Rovaniemi railway station","2024","6","7","13:00","13.3","70.5","2.3"
"Rovaniemi railway station","2024","6","7","14:00","14.1","67.5","2.2"
"Rovaniemi railway station","2024","6","7","15:00","15.9","55.2","3.6"
"Rovaniemi railway station","2024","6","7","16:00","16.2","50.3","3.2"
"Rovaniemi railway station","2024","6","7","17:00","17.4","45.2","2.9"
"Rovaniemi railway station","2024","6","7","18:00","16.6","49.4","2.2"
"Rovaniemi railway station","2024","6","7","19:00","16.8","44.6","3.3"
"Rovaniemi railway station","2024","6","7","20:00","16.8","44.4","3.9"
"Rovaniemi railway station","2024","6","7","21:00","15.4","67.6","4.4"
"Rovaniemi railway station","2024","6","7","22:00","15.1","58.8","3.7"
"Rovaniemi railway station","2024","6","7","23:00","14.6","52.6","2.3"
"Rovaniemi railway station","2024","6","8","00:00","13.8","58.1","2.5"
"Rovaniemi railway station","2024","6","8","01:00","12.7","61.9","2.2"
"Rovaniemi railway station","2024","6","8","02:00","12","65.2","2.1"
"Rovaniemi railway station","2024","6","8","03:00","11.3","71.7","2.8"
"Rovaniemi railway station","2024","6","8","04:00","10.5","80.9","3.3"
"Rovaniemi railway station","2024","6","8","05:00","10.4","85.3","3.3"
"Rovaniemi railway station","2024","6","8","06:00","10.3","86.7","2.7"
"Rovaniemi railway station","2024","6","8","07:00","11","84.9","2.9"
"Rovaniemi railway station","2024","6","8","08:00","12.3","77.7","2.3"
"Rovaniemi railway station","2024","6","8","09:00","14.3","65","3.3"
"Rovaniemi railway station","2024","6","8","10:00","15.6","53.5","5.5"
"Rovaniemi railway station","2024","6","8","11:00","16.6","49.5","5.8"
"Rovaniemi railway station","2024","6","8","12:00","17.9","43.7","6.7"
"Rovaniemi railway station","2024","6","8","13:00","17.3","46.3","6.7"
"Rovaniemi railway station","2024","6","8","14:00","18.5","37.4","6.9"
"Rovaniemi railway station","2024","6","8","15:00","18.6","36.3","7.8"
"Rovaniemi railway station","2024","6","8","16:00","18.9","37.9","7.3"
"Rovaniemi railway station","2024","6","8","17:00","18.9","36.1","7.5"
"Rovaniemi railway station","2024","6","8","18:00","18.9","33.4","7.2"
"Rovaniemi railway station","2024","6","8","19:00","18.3","35.6","7.5"
"Rovaniemi railway station","2024","6","8","20:00","18.1","33.9","6.3"
"Rovaniemi railway station","2024","6","8","21:00","17.2","34.1","5.8"
"Rovaniemi railway station","2024","6","8","22:00","16.1","36.9","4.5"
"Rovaniemi railway station","2024","6","8","23:00","14.8","42.5","3.7"
"Rovaniemi railway station","2024","6","9","00:00","13.1","50.7","1.9"
"Rovaniemi railway station","2024","6","9","01:00","11","60.2","0.9"
"Rovaniemi railway station","2024","6","9","02:00","9.7","66.6","0.8"
"Rovaniemi railway station","2024","6","9","03:00","8.9","74.8","1.4"
"Rovaniemi railway station","2024","6","9","04:00","7.4","82.9","0.8"
"Rovaniemi railway station","2024","6","9","05:00","7.3","85.5","1.1"
"Rovaniemi railway station","2024","6","9","06:00","8.5","82.3","1.5"
"Rovaniemi railway station","2024","6","9","07:00","11.4","69.5","1.5"
"Rovaniemi railway station","2024","6","9","08:00","13.9","50.5","2.5"
"Rovaniemi railway station","2024","6","9","09:00","14.9","48","2.8"
"Rovaniemi railway station","2024","6","9","10:00","15.5","37.2","3.4"
"Rovaniemi railway station","2024","6","9","11:00","16.3","40.4","3.9"
"Rovaniemi railway station","2024","6","9","12:00","17.5","31.7","3.9"
"Rovaniemi railway station","2024","6","9","13:00","18.7","32.7","3.5"
"Rovaniemi railway station","2024","6","9","14:00","19.1","29.8","3.5"
"Rovaniemi railway station","2024","6","9","15:00","19.7","31.7","4.2"
"Rovaniemi railway station","2024","6","9","16:00","17.8","41.9","6.8"
"Rovaniemi railway station","2024","6","9","17:00","15.8","62.5","4.6"
"Rovaniemi railway station","2024","6","9","18:00","15.5","60","5.3"
"Rovaniemi railway station","2024","6","9","19:00","16.1","58.8","4.3"
"Rovaniemi railway station","2024","6","9","20:00","17.1","53.8","4.5"
"Rovaniemi railway station","2024","6","9","21:00","16.5","54.3","6.8"
"Rovaniemi railway station","2024","6","9","22:00","14.2","62.2","3.7"
"Rovaniemi railway station","2024","6","9","23:00","14.5","62.9","3.5"
"Rovaniemi railway station","2024","6","10","00:00","14.4","63.2","6.8"
"Rovaniemi railway station","2024","6","10","01:00","13.6","69","5.4"
"Rovaniemi railway station","2024","6","10","02:00","12.6","75.5","3.2"
"Rovaniemi railway station","2024","6","10","03:00","12.1","80","2"
"Rovaniemi railway station","2024","6","10","04:00","11.8","84","3"
"Rovaniemi railway station","2024","6","10","05:00","11.7","88.3","3.8"
"Rovaniemi railway station","2024","6","10","06:00","11.5","92.2","3.7"
"Rovaniemi railway station","2024","6","10","07:00","10.3","91.7","6.5"
"Rovaniemi railway station","2024","6","10","08:00","9.3","92.3","5.5"
"Rovaniemi railway station","2024","6","10","09:00","9.5","90.1","4.4"
"Rovaniemi railway station","2024","6","10","10:00","9.7","84.3","3.8"
"Rovaniemi railway station","2024","6","10","11:00","10.4","73.9","4.5"
"Rovaniemi railway station","2024","6","10","12:00","10.9","73.6","4.4"
"Rovaniemi railway station","2024","6","10","13:00","11.3","69.5","4.8"
"Rovaniemi railway station","2024","6","10","14:00","11.3","66.3","4.5"
"Rovaniemi railway station","2024","6","10","15:00","11.6","64.9","3.1"
"Rovaniemi railway station","2024","6","10","16:00","12.5","61.8","2.7"
"Rovaniemi railway station","2024","6","10","17:00","13.3","59.3","2.7"
"Rovaniemi railway station","2024","6","10","18:00","14.8","53.1","4.3"
"Rovaniemi railway station","2024","6","10","19:00","13.8","55.5","5.7"
"Rovaniemi railway station","2024","6","10","20:00","11.8","64.7","5.3"
"Rovaniemi railway station","2024","6","10","21:00","11.2","68.6","3.1"
"Rovaniemi railway station","2024","6","10","22:00","10.9","69.5","2.5"
"Rovaniemi railway station","2024","6","10","23:00","10.8","73.2","2.1"
"Rovaniemi railway station","2024","6","11","00:00","10.6","77","2.5"
"Rovaniemi railway station","2024","6","11","01:00","9.8","83.6","1.9"
"Rovaniemi railway station","2024","6","11","02:00","9.3","86.8","2.2"
"Rovaniemi railway station","2024","6","11","03:00","8.4","89.6","2.1"
"Rovaniemi railway station","2024","6","11","04:00","8.4","89.3","2.3"
"Rovaniemi railway station","2024","6","11","05:00","8.5","88.2","2.9"
"Rovaniemi railway station","2024","6","11","06:00","9","85.9","2.9"
"Rovaniemi railway station","2024","6","11","07:00","10.2","81.1","3.3"
"Rovaniemi railway station","2024","6","11","08:00","12.2","71.2","2.7"
"Rovaniemi railway station","2024","6","11","09:00","13.8","63.8","4.3"
"Rovaniemi railway station","2024","6","11","10:00","14.4","59.2","4.3"
"Rovaniemi railway station","2024","6","11","11:00","14.9","56.6","3.5"
"Rovaniemi railway station","2024","6","11","12:00","15.5","53.3","2.7"
"Rovaniemi railway station","2024","6","11","13:00","16.4","50","4.4"
"Rovaniemi railway station","2024","6","11","14:00","16.2","48","4.9"
"Rovaniemi railway station","2024","6","11","15:00","14.2","55.6","7.9"
"Rovaniemi railway station","2024","6","11","16:00","12.2","74.4","3.4"
"Rovaniemi railway station","2024","6","11","17:00","15.3","55.8","3"
"Rovaniemi railway station","2024","6","11","18:00","16.7","49.4","2.6"
"Rovaniemi railway station","2024","6","11","19:00","16.6","47.7","4.1"
"Rovaniemi railway station","2024","6","11","20:00","14.9","57.8","4"
"Rovaniemi railway station","2024","6","11","21:00","13.8","67.5","3.5"
"Rovaniemi railway station","2024","6","11","22:00","12.5","78.7","3.1"
"Rovaniemi railway station","2024","6","11","23:00","11.5","81.4","3.1"
"Rovaniemi railway station","2024","6","12","00:00","10.5","85.7","1.7"
"Rovaniemi railway station","2024","6","12","01:00","9.8","91.6","1.1"
"-","2024","6","12","02:00","-","-","-"
"Rovaniemi railway station","2024","6","12","03:00","9.2","94.4","2.1"
"Rovaniemi railway station","2024","6","12","04:00","8.5","95.5","1.1"
